"team","groups","minutes","goals","pens_made","goals_pens","cards_yellow","cards_red"
"Netherlands",1,480,10,0,10,"12.0","1.0"
"Senegal",1,360,5,1,4,"7.0","0.0"
"Ecuador",1,270,4,1,3,"3.0","0.0"
"Qatar",1,270,1,0,1,"7.0","0.0"
"England",2,450,13,1,12,"1.0","0.0"
"United States",2,360,3,0,3,"5.0","0.0"
"IR Iran",2,NULL,NULL,NULL,NULL,NULL,NULL
"Wales",2,270,1,1,0,"5.0","1.0"
"Argentina",3,690,15,4,11,"17.0","0.0"
"Poland",3,360,3,1,2,"7.0","0.0"
"Mexico",3,270,2,0,2,"7.0","0.0"
"Saudi Arabia",3,270,3,0,3,"14.0","0.0"
"France",4,660,16,2,14,"8.0","0.0"
"Australia",4,360,3,0,3,"7.0","0.0"
"Tunisia",4,270,1,0,1,"5.0","0.0"
"Denmark",4,270,1,0,1,"5.0","0.0"
"Japan",5,390,5,0,5,"6.0","0.0"
"Spain",5,390,9,1,8,"2.0","0.0"
"Germany",5,270,6,1,5,"3.0","0.0"
"Costa Rica",5,270,3,0,3,"6.0","0.0"
"Morocco",6,660,6,0,6,"9.0","1.0"
"Croatia",6,690,8,0,8,"8.0","0.0"
"Belgium",6,270,1,0,1,"5.0","0.0"
"Canada",6,270,1,0,1,"8.0","0.0"
"Brazil",7,480,8,1,7,"6.0","0.0"
"Switzerland",7,360,5,0,5,"9.0","0.0"
"Cameroon",7,270,4,0,4,"8.0","1.0"
"Serbia",7,270,5,0,5,"12.0","0.0"
"Portugal",8,450,12,2,10,"6.0","0.0"
"Korea Republic",8,360,5,0,5,"6.0","0.0"
"Uruguay",8,270,2,0,2,"8.0","0.0"
"Ghana",8,270,5,0,5,"8.0","0.0"
